infinitive,infinitive_english,mood,mood_english,tense,tense_english,form_1s,form_1s_english,form_2s,form_2s_english,form_3s,form_3s_english,form_1p,form_1p_english,form_2p,form_2p_english,form_3p,form_3p_english,gerund,gerund_english,pastparticiple,pastparticiple_english
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Presente,Present,condeno,condemn,condenas,condemn,condena,condemns,condenamos,condemn,condenáis,condemn,condenan,condemn,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Futuro,Future,condenaré,will condemn,condenarás,will condemn,condenará,will condemn,condenaremos,will condemn,condenaréis,will condemn,condenarán,will condemn,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Imperfecto,Imperfect,condenaba,was condemning,condenabas,were condemning,condenaba,was condemning,condenábamos,were condemning,condenabais,were condemning,condenaban,were condemning,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Pretérito,Preterite,condené,condemned,condenaste,condemned,condenó,condemned,condenamos,condemned,condenasteis,condemned,condenaron,condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Condicional,Conditional,condenaría,would condemn,condenarías,would condemn,condenaría,would condemn,condenaríamos,would condemn,condenaríais,would condemn,condenarían,would condemn,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Presente perfecto,Present Perfect,he condenado,have condemned,has condenado,have condemned,ha condenado,has condemned,hemos condenado,have condemned,habéis condenado,have condemned,han condenado,have condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré condenado,will have condemned,habrás condenado,will have condemned,habrá condenado,will have condemned,habremos condenado,will have condemned,habréis condenado,will have condemned,habrán condenado,will have condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había condenado,had condemned,habías condenado,had condemned,había condenado,had condemned,habíamos condenado,had condemned,habíais condenado,had condemned,habían condenado,had condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube condenado,,hubiste condenado,,hubo condenado,,hubimos condenado,,hubisteis condenado,,hubieron condenado,,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría condenado,would have condemned,habrías condenado,would have condemned,habría condenado,would have condemned,habríamos condenado,would have condemned,habríais condenado,would have condemned,habrían condenado,would have condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Subjuntivo,Subjunctive,Presente,Present,condene,condemn,condenes,condemn,condene,condemns,condenemos,condemn,condenéis,condemn,condenen,condemn,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Subjuntivo,Subjunctive,Imperfecto,Imperfect,condenara,was condemning,condenaras,were condemning,condenara,was condemning,condenáramos,were condemning,condenarais,were condemning,condenaran,were condemning,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Subjuntivo,Subjunctive,Futuro,Future,condenare,will condemn,condenares,will condemn,condenare,will condemn,condenáremos,will condemn,condenareis,will condemn,condenaren,will condemn,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya condenado,have condemned,hayas condenado,have condemned,haya condenado,has condemned,hayamos condenado,have condemned,hayáis condenado,have condemned,hayan condenado,have condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere condenado,will have condemned,hubieres condenado,will have condemned,hubiere condenado,will have condemned,hubiéremos condenado,will have condemned,hubiereis condenado,will have condemned,hubieren condenado,will have condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera condenado,had condemned,hubieras condenado,had condemned,hubiera condenado,had condemned,hubiéramos condenado,had condemned,hubierais condenado,had condemned,hubieran condenado,had condemned,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,condemn,condena,condemn,condenad,condemns,,condemn,condene,condemn,condenen,condemn,condenando,condemning,condenado,condemned
condenar,"to condemn, convict, sentence",Imperativo Negativo,Imperative Negative,Presente,Present,,condemn,no condenes,condemn,no condenéis,condemns,,condemn,no condene,condemn,no condenen,condemn,condenando,condemning,condenado,condemned
conducir,"to drive, conduct",Indicativo,Indicative,Presente,Present,conduzco,drive,conduces,drive,conduce,drives,conducimos,drive,conducís,drive,conducen,drive,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Futuro,Future,conduciré,will drive,conducirás,will drive,conducirá,will drive,conduciremos,will drive,conduciréis,will drive,conducirán,will drive,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Imperfecto,Imperfect,conducía,was driving,conducías,were driving,conducía,was driving,conducíamos,were driving,conducíais,were driving,conducían,were driving,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Pretérito,Preterite,conduje,driven,condujiste,driven,condujo,driven,condujimos,driven,condujisteis,driven,condujeron,driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Condicional,Conditional,conduciría,would drive,conducirías,would drive,conduciría,would drive,conduciríamos,would drive,conduciríais,would drive,conducirían,would drive,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Presente perfecto,Present Perfect,he conducido,have driven,has conducido,have driven,ha conducido,has driven,hemos conducido,have driven,habéis conducido,have driven,han conducido,have driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré conducido,will have driven,habrás conducido,will have driven,habrá conducido,will have driven,habremos conducido,will have driven,habréis conducido,will have driven,habrán conducido,will have driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había conducido,had driven,habías conducido,had driven,había conducido,had driven,habíamos conducido,had driven,habíais conducido,had driven,habían conducido,had driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube conducido,,hubiste conducido,,hubo conducido,,hubimos conducido,,hubisteis conducido,,hubieron conducido,,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría conducido,would have driven,habrías conducido,would have driven,habría conducido,would have driven,habríamos conducido,would have driven,habríais conducido,would have driven,habrían conducido,would have driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Subjuntivo,Subjunctive,Presente,Present,conduzca,drive,conduzcas,drive,conduzca,drives,conduzcamos,drive,conduzcáis,drive,conduzcan,drive,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Subjuntivo,Subjunctive,Imperfecto,Imperfect,condujera,was driving,condujeras,were driving,condujera,was driving,condujéramos,were driving,condujerais,were driving,condujeran,were driving,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Subjuntivo,Subjunctive,Futuro,Future,condujere,will drive,condujeres,will drive,condujere,will drive,condujéremos,will drive,condujereis,will drive,condujeren,will drive,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya conducido,have driven,hayas conducido,have driven,haya conducido,has driven,hayamos conducido,have driven,hayáis conducido,have driven,hayan conducido,have driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere conducido,will have driven,hubieres conducido,will have driven,hubiere conducido,will have driven,hubiéremos conducido,will have driven,hubiereis conducido,will have driven,hubieren conducido,will have driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera conducido,had driven,hubieras conducido,had driven,hubiera conducido,had driven,hubiéramos conducido,had driven,hubierais conducido,had driven,hubieran conducido,had driven,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,drive,conduce,drive,conducid,drives,,drive,conduzca,drive,conduzcan,drive,conduciendo,driving,conducido,driven
conducir,"to drive, conduct",Imperativo Negativo,Imperative Negative,Presente,Present,,drive,no conduzcas,drive,no conduzcáis,drives,,drive,no conduzca,drive,no conduzcan,drive,conduciendo,driving,conducido,driven
confesar,to confess,Indicativo,Indicative,Presente,Present,confieso,confess,confiesas,confess,confiesa,confesses,confesamos,confess,confesáis,confess,confiesan,confess,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Futuro,Future,confesaré,will confess,confesarás,will confess,confesará,will confess,confesaremos,will confess,confesaréis,will confess,confesarán,will confess,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Imperfecto,Imperfect,confesaba,was confessing,confesabas,were confessing,confesaba,was confessing,confesábamos,were confessing,confesabais,were confessing,confesaban,were confessing,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Pretérito,Preterite,confesé,confessed,confesaste,confessed,confesó,confessed,confesamos,confessed,confesasteis,confessed,confesaron,confessed,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Condicional,Conditional,confesaría,would confess,confesarías,would confess,confesaría,would confess,confesaríamos,would confess,confesaríais,would confess,confesarían,would confess,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Presente perfecto,Present Perfect,he confesado,have confessed,has confesado,have confessed,ha confesado,has confessed,hemos confesado,have confessed,habéis confesado,have confessed,han confesado,have confessed,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Futuro perfecto,Future Perfect,habré confesado,will have confessed,habrás confesado,will have confessed,habrá confesado,will have confessed,habremos confesado,will have confessed,habréis confesado,will have confessed,habrán confesado,will have confessed,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había confesado,had confessed,habías confesado,had confessed,había confesado,had confessed,habíamos confesado,had confessed,habíais confesado,had confessed,habían confesado,had confessed,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube confesado,,hubiste confesado,,hubo confesado,,hubimos confesado,,hubisteis confesado,,hubieron confesado,,confesando,confessing,confesado,confessed
confesar,to confess,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría confesado,would have confessed,habrías confesado,would have confessed,habría confesado,would have confessed,habríamos confesado,would have confessed,habríais confesado,would have confessed,habrían confesado,would have confessed,confesando,confessing,confesado,confessed
confesar,to confess,Subjuntivo,Subjunctive,Presente,Present,confiese,confess,confieses,confess,confiese,confesses,confesemos,confess,confeséis,confess,confiesen,confess,confesando,confessing,confesado,confessed
confesar,to confess,Subjuntivo,Subjunctive,Imperfecto,Imperfect,confesara,was confessing,confesaras,were confessing,confesara,was confessing,confesáramos,were confessing,confesarais,were confessing,confesaran,were confessing,confesando,confessing,confesado,confessed
confesar,to confess,Subjuntivo,Subjunctive,Futuro,Future,confesare,will confess,confesares,will confess,confesare,will confess,confesáremos,will confess,confesareis,will confess,confesaren,will confess,confesando,confessing,confesado,confessed
confesar,to confess,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya confesado,have confessed,hayas confesado,have confessed,haya confesado,has confessed,hayamos confesado,have confessed,hayáis confesado,have confessed,hayan confesado,have confessed,confesando,confessing,confesado,confessed
confesar,to confess,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere confesado,will have confessed,hubieres confesado,will have confessed,hubiere confesado,will have confessed,hubiéremos confesado,will have confessed,hubiereis confesado,will have confessed,hubieren confesado,will have confessed,confesando,confessing,confesado,confessed
confesar,to confess,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera confesado,had confessed,hubieras confesado,had confessed,hubiera confesado,had confessed,hubiéramos confesado,had confessed,hubierais confesado,had confessed,hubieran confesado,had confessed,confesando,confessing,confesado,confessed
confesar,to confess,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,confess,confiesa,confess,confesad,confesses,,confess,confiese,confess,confiesen,confess,confesando,confessing,confesado,confessed
confesar,to confess,Imperativo Negativo,Imperative Negative,Presente,Present,,confess,no confieses,confess,no confeséis,confesses,,confess,no confiese,confess,no confiesen,confess,confesando,confessing,confesado,confessed
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Presente,Present,confío,trust,confías,trust,confía,trusts,confiamos,trust,confiáis,trust,confían,trust,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Futuro,Future,confiaré,will trust,confiarás,will trust,confiará,will trust,confiaremos,will trust,confiaréis,will trust,confiarán,will trust,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Imperfecto,Imperfect,confiaba,was trusting,confiabas,were trusting,confiaba,was trusting,confiábamos,were trusting,confiabais,were trusting,confiaban,were trusting,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Pretérito,Preterite,confié,trusted,confiaste,trusted,confió,trusted,confiamos,trusted,confiasteis,trusted,confiaron,trusted,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Condicional,Conditional,confiaría,would trust,confiarías,would trust,confiaría,would trust,confiaríamos,would trust,confiaríais,would trust,confiarían,would trust,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Presente perfecto,Present Perfect,he confiado,have trusted,has confiado,have trusted,ha confiado,has trusted,hemos confiado,have trusted,habéis confiado,have trusted,han confiado,have trusted,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré confiado,will have trusted,habrás confiado,will have trusted,habrá confiado,will have trusted,habremos confiado,will have trusted,habréis confiado,will have trusted,habrán confiado,will have trusted,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había confiado,had trusted,habías confiado,had trusted,había confiado,had trusted,habíamos confiado,had trusted,habíais confiado,had trusted,habían confiado,had trusted,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube confiado,,hubiste confiado,,hubo confiado,,hubimos confiado,,hubisteis confiado,,hubieron confiado,,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría confiado,would have trusted,habrías confiado,would have trusted,habría confiado,would have trusted,habríamos confiado,would have trusted,habríais confiado,would have trusted,habrían confiado,would have trusted,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Subjuntivo,Subjunctive,Presente,Present,confíe,trust,confíes,trust,confíe,trusts,confiemos,trust,confiéis,trust,confíen,trust,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Subjuntivo,Subjunctive,Imperfecto,Imperfect,confiara,was trusting,confiaras,were trusting,confiara,was trusting,confiáramos,were trusting,confiarais,were trusting,confiaran,were trusting,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Subjuntivo,Subjunctive,Futuro,Future,confiare,will trust,confiares,will trust,confiare,will trust,confiáremos,will trust,confiareis,will trust,confiaren,will trust,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya confiado,have trusted,hayas confiado,have trusted,haya confiado,has trusted,hayamos confiado,have trusted,hayáis confiado,have trusted,hayan confiado,have trusted,confiando,trusting,confiado,trusted
conquistar,"to conquer, overcome, win",Indicativo,Indicative,Futuro,Future,conquistaré,will conquer,conquistarás,will conquer,conquistará,will conquer,conquistaremos,will conquer,conquistaréis,will conquer,conquistarán,will conquer,conquistando,conquering,conquistado,conquered
confiar,"to trust, be trusting, entrust",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere confiado,will have trusted,hubieres confiado,will have trusted,hubiere confiado,will have trusted,hubiéremos confiado,will have trusted,hubiereis confiado,will have trusted,hubieren confiado,will have trusted,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera confiado,had trusted,hubieras confiado,had trusted,hubiera confiado,had trusted,hubiéramos confiado,had trusted,hubierais confiado,had trusted,hubieran confiado,had trusted,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,trust,confía,trust,confiad,trusts,,trust,confíe,trust,confíen,trust,confiando,trusting,confiado,trusted
confiar,"to trust, be trusting, entrust",Imperativo Negativo,Imperative Negative,Presente,Present,,trust,no confíes,trust,no confiéis,trusts,,trust,no confíe,trust,no confíen,trust,confiando,trusting,confiado,trusted
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Presente,Present,confirmo,confirm,confirmas,confirm,confirma,confirms,confirmamos,confirm,confirmáis,confirm,confirman,confirm,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Futuro,Future,confirmaré,will confirm,confirmarás,will confirm,confirmará,will confirm,confirmaremos,will confirm,confirmaréis,will confirm,confirmarán,will confirm,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Imperfecto,Imperfect,confirmaba,was confirming,confirmabas,were confirming,confirmaba,was confirming,confirmábamos,were confirming,confirmabais,were confirming,confirmaban,were confirming,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Pretérito,Preterite,confirmé,confirmed,confirmaste,confirmed,confirmó,confirmed,confirmamos,confirmed,confirmasteis,confirmed,confirmaron,confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Condicional,Conditional,confirmaría,would confirm,confirmarías,would confirm,confirmaría,would confirm,confirmaríamos,would confirm,confirmaríais,would confirm,confirmarían,would confirm,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Presente perfecto,Present Perfect,he confirmado,have confirmed,has confirmado,have confirmed,ha confirmado,has confirmed,hemos confirmado,have confirmed,habéis confirmado,have confirmed,han confirmado,have confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré confirmado,will have confirmed,habrás confirmado,will have confirmed,habrá confirmado,will have confirmed,habremos confirmado,will have confirmed,habréis confirmado,will have confirmed,habrán confirmado,will have confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había confirmado,had confirmed,habías confirmado,had confirmed,había confirmado,had confirmed,habíamos confirmado,had confirmed,habíais confirmado,had confirmed,habían confirmado,had confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube confirmado,,hubiste confirmado,,hubo confirmado,,hubimos confirmado,,hubisteis confirmado,,hubieron confirmado,,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría confirmado,would have confirmed,habrías confirmado,would have confirmed,habría confirmado,would have confirmed,habríamos confirmado,would have confirmed,habríais confirmado,would have confirmed,habrían confirmado,would have confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Subjuntivo,Subjunctive,Presente,Present,confirme,confirm,confirmes,confirm,confirme,confirms,confirmemos,confirm,confirméis,confirm,confirmen,confirm,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Subjuntivo,Subjunctive,Imperfecto,Imperfect,confirmara,was confirming,confirmaras,were confirming,confirmara,was confirming,confirmáramos,were confirming,confirmarais,were confirming,confirmaran,were confirming,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Subjuntivo,Subjunctive,Futuro,Future,confirmare,will confirm,confirmares,will confirm,confirmare,will confirm,confirmáremos,will confirm,confirmareis,will confirm,confirmaren,will confirm,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya confirmado,have confirmed,hayas confirmado,have confirmed,haya confirmado,has confirmed,hayamos confirmado,have confirmed,hayáis confirmado,have confirmed,hayan confirmado,have confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere confirmado,will have confirmed,hubieres confirmado,will have confirmed,hubiere confirmado,will have confirmed,hubiéremos confirmado,will have confirmed,hubiereis confirmado,will have confirmed,hubieren confirmado,will have confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera confirmado,had confirmed,hubieras confirmado,had confirmed,hubiera confirmado,had confirmed,hubiéramos confirmado,had confirmed,hubierais confirmado,had confirmed,hubieran confirmado,had confirmed,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,confirm,confirma,confirm,confirmad,confirms,,confirm,confirme,confirm,confirmen,confirm,confirmando,confirming,confirmado,confirmed
confirmar,"to confirm, corroborate, endorse",Imperativo Negativo,Imperative Negative,Presente,Present,,confirm,no confirmes,confirm,no confirméis,confirms,,confirm,no confirme,confirm,no confirmen,confirm,confirmando,confirming,confirmado,confirmed
compartir,to share; to divide [up],Indicativo,Indicative,Presente,Present,comparto,share,compartes,share,comparte,shares,compartimos,share,compartís,share,comparten,share,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Futuro,Future,compartiré,will share,compartirás,will share,compartirá,will share,compartiremos,will share,compartiréis,will share,compartirán,will share,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Imperfecto,Imperfect,compartía,was sharing,compartías,were sharing,compartía,was sharing,compartíamos,were sharing,compartíais,were sharing,compartían,were sharing,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Pretérito,Preterite,compartí,shared,compartiste,shared,compartió,shared,compartimos,shared,compartisteis,shared,compartieron,shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Condicional,Conditional,compartiría,would share,compartirías,would share,compartiría,would share,compartiríamos,would share,compartiríais,would share,compartirían,would share,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Presente perfecto,Present Perfect,he compartido,have shared,has compartido,have shared,ha compartido,has shared,hemos compartido,have shared,habéis compartido,have shared,han compartido,have shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Futuro perfecto,Future Perfect,habré compartido,will have shared,habrás compartido,will have shared,habrá compartido,will have shared,habremos compartido,will have shared,habréis compartido,will have shared,habrán compartido,will have shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había compartido,had shared,habías compartido,had shared,había compartido,had shared,habíamos compartido,had shared,habíais compartido,had shared,habían compartido,had shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube compartido,,hubiste compartido,,hubo compartido,,hubimos compartido,,hubisteis compartido,,hubieron compartido,,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría compartido,would have shared,habrías compartido,would have shared,habría compartido,would have shared,habríamos compartido,would have shared,habríais compartido,would have shared,habrían compartido,would have shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Subjuntivo,Subjunctive,Presente,Present,comparta,share,compartas,share,comparta,shares,compartamos,share,compartáis,share,compartan,share,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Subjuntivo,Subjunctive,Imperfecto,Imperfect,compartiera,was sharing,compartieras,were sharing,compartiera,was sharing,compartiéramos,were sharing,compartierais,were sharing,compartieran,were sharing,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Subjuntivo,Subjunctive,Futuro,Future,compartiere,will share,compartieres,will share,compartiere,will share,compartiéremos,will share,compartiereis,will share,compartieren,will share,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya compartido,have shared,hayas compartido,have shared,haya compartido,has shared,hayamos compartido,have shared,hayáis compartido,have shared,hayan compartido,have shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere compartido,will have shared,hubieres compartido,will have shared,hubiere compartido,will have shared,hubiéremos compartido,will have shared,hubiereis compartido,will have shared,hubieren compartido,will have shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera compartido,had shared,hubieras compartido,had shared,hubiera compartido,had shared,hubiéramos compartido,had shared,hubierais compartido,had shared,hubieran compartido,had shared,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,share,comparte,share,compartid,shares,,share,comparta,share,compartan,share,compartiendo,sharing,compartido,shared
compartir,to share; to divide [up],Imperativo Negativo,Imperative Negative,Presente,Present,,share,no compartas,share,no compartáis,shares,,share,no comparta,share,no compartan,share,compartiendo,sharing,compartido,shared
confiscar,to confiscate,Indicativo,Indicative,Presente,Present,confisco,confiscate,confiscas,confiscate,confisca,confiscates,confiscamos,confiscate,confiscáis,confiscate,confiscan,confiscate,confiscando,confiscating,confiscado,confiscated
confiscar,to confiscate,Indicativo,Indicative,Futuro,Future,confiscaré,will confiscate,confiscarás,will confiscate,confiscará,will confiscate,confiscaremos,will confiscate,confiscaréis,will confiscate,confiscarán,will confiscate,confiscando,confiscating,confiscado,confiscated
confiscar,to confiscate,Indicativo,Indicative,Imperfecto,Imperfect,confiscaba,was confiscating,confiscabas,were confiscating,confiscaba,was confiscating,confiscábamos,were confiscating,confiscabais,were confiscating,confiscaban,were confiscating,confiscando,confiscating,confiscado,confiscated
confiscar,to confiscate,Indicativo,Indicative,Pretérito,Preterite,confisqué,confiscated,confiscaste,confiscated,confiscó,confiscated,confiscamos,confiscated,confiscasteis,confiscated,confiscaron,confiscated,confiscando,confiscating,confiscado,confiscated
confiscar,to confiscate,Indicativo,Indicative,Condicional,Conditional,confiscaría,would confiscate,confiscarías,would confiscate,confiscaría,would confiscate,confiscaríamos,would confiscate,confiscaríais,would confiscate,confiscarían,would confiscate,confiscando,confiscating,confiscado,confiscated
confiscar,to confiscate,Indicativo,Indicative,Presente perfecto,Present Perfect,he confiscado,have confiscated,has confiscado,have confiscated,ha confiscado,has confiscated,hemos confiscado,have confiscated,habéis confiscado,have confiscated,han confiscado,have confiscated,confiscando,confiscating,confiscado,confiscated
confiscar,to confiscate,Indicativo,Indicative,Futuro perfecto,Future Perfect,habré confiscado,will have confiscated,habrás confiscado,will have confiscated,habrá confiscado,will have confiscated,habremos confiscado,will have confiscated,habréis confiscado,will have confiscated,habrán confiscado,will have confiscated,confiscando,confiscating,confiscado,confiscated
